https://funkysouls.org/music/Stunde_Null_Wie_Laut_Die_Stille_Schreit_2021.html,Stunde Null,Wie Laut Die Stille Schreit
https://funkysouls.org/music/The_Notwist_Vertigo_Days_2021.html,The Notwist,Vertigo Days
https://funkysouls.org/music/Ego_Ella_May_Honey_For_Wounds_2020.html,Ego Ella May,Honey For Wounds
https://funkysouls.org/music/The_Weight_Of_Silence_Give_The_People_What_They_Want_2021.html,The Weight Of Silence,Give The People What They Want
https://funkysouls.org/music/The_Alchemist_Born_x_Raised_Carry_The_Fire_2021.html,The Alchemist & Born x Raised,Carry The Fire
https://funkysouls.org/music/Madlib_Sound_Ancestors_2021.html,Madlib,Sound Ancestors
https://funkysouls.org/music/Black_Pistol_Fire_Look_Alive_2021.html,Black Pistol Fire,Look Alive
https://funkysouls.org/music/Weezer_Ok_Human_2021.html,Weezer,Ok Human
https://funkysouls.org/music/Goat_Girl_On_All_Fours_2021.html,Goat Girl,On All Fours
https://funkysouls.org/music/Soen_Imperial_2021.html,Soen,Imperial
https://funkysouls.org/music/Asphyx_Necroceros_2021.html,Asphyx,Necroceros
https://funkysouls.org/music/Dirty_Pagans_The_Family_2021.html,Dirty Pagans,The Family
AlbumOfTheYear,slowthai,TYRON
AlbumOfTheYear,JPEGMAFIA,EP2!
AlbumOfTheYear,Django Django,Glowing in the Dark
AlbumOfTheYear,Claud,Super Monster
AlbumOfTheYear,Pale Waves,Who Am I?
AlbumOfTheYear,Virginia Wing,private LIFE
AlbumOfTheYear,The Pretty Reckless,Death by Rock And Roll
AlbumOfTheYear,Clap Your Hands Say Yeah,New Fragility
AlbumOfTheYear,Mush,Lines Redacted
AlbumOfTheYear,Sia,MUSIC - Songs From And Inspired By The Motion Picture
AlbumOfTheYear,Various Artists,Judas and the Black Messiah: The Inspired Album
AlbumOfTheYear,God Is An Astronaut,Ghost Tapes #10
AlbumOfTheYear,Aerial East,Try Harder
AlbumOfTheYear,Teenage Wrist,Earth Is A Black Hole
AlbumOfTheYear,Black Dresses,Forever In Your Heart
AlbumOfTheYear,Death By Unga Bunga,Heavy Male Insecurity
AlbumOfTheYear,Abbie Ozard,let's play pretend
AlbumOfTheYear,Love And Death,Perfectly Preserved
AlbumOfTheYear,CHUNG HA,Querencia
AlbumOfTheYear,Kìzis,Turn
AlbumOfTheYear,Rita Ora & Imanbek,Bang
AlbumOfTheYear,Black Sabbath,Vol 4: [Super Deluxe Edition]
AlbumOfTheYear,Chris Crack,Might Delete Later
AlbumOfTheYear,Florida Georgia Line,Life Rolls On
AlbumOfTheYear,FRITZ,Pastel
AlbumOfTheYear,Drones,Our Hell Is Right Here
AlbumOfTheYear,sammy the fish,Speeder
AlbumOfTheYear,Gal Costa,Nenhuma Dor
AlbumOfTheYear,Jakob Bro, Arve Henriksen & Jorge Rossy,Uma Elmo
AlbumOfTheYear,Bodies of Water,Is This What It's Like
AlbumOfTheYear,Grasscut,Overwinter
AlbumOfTheYear,Isabella James,Isabella James
AlbumOfTheYear,Ad Nauseam,Imperative Imperceptible Impulse
AlbumOfTheYear,Luna Shadows,Digital Pacific
AlbumOfTheYear,Rat Columns,Pacific Kiss
AlbumOfTheYear,Cool Sounds,Bystander
AlbumOfTheYear,Dominique Fils-Aimé,Three Little Words
AlbumOfTheYear,Fawning,Illusions of Control
AlbumOfTheYear,Humanity's Last Breath,Välde
AlbumOfTheYear,Lucky Daye,Table For Two
AlbumOfTheYear,Sports,Get A Good Look Pt. 1
AlbumOfTheYear,Steady Holiday,Take The Corners Gently
AlbumOfTheYear,Christian Leave,Heavy Hitting Hurts My Head
AlbumOfTheYear,Thouxanbanfauni,Time Of My Life
AlbumOfTheYear,Sirenia,Riddles, Ruins & Revelations
AlbumOfTheYear,Heligoland,This Quiet Fire
AlbumOfTheYear,For Your Health,In Spite Of
AlbumOfTheYear,James Walsh,Small Illusions
AlbumOfTheYear,Møme & Ricky Ducati,Flashback Fm
AlbumOfTheYear,Luca Brasi,Everything Is Tenuous
AlbumOfTheYear,Sun Kin,After the House
AlbumOfTheYear,Arlissa,The Lovers
AlbumOfTheYear,Pink Sweat$,PINK PLANET
AlbumOfTheYear,Lauren Auder,5 Songs For The Dysphoric
AlbumOfTheYear,MIKE,blp2021: "for ur own good"
AlbumOfTheYear,Animal Collective,Crestone (Original Score)
AlbumOfTheYear,Phora,heartbreak hotel
AlbumOfTheYear,Anika Pyle,Wild River
AlbumOfTheYear,MOD SUN,Internet Killed The Rockstar
AlbumOfTheYear,Pentatonix,The Lucky Ones
AlbumOfTheYear,NCT 127,LOVEHOLIC
AlbumOfTheYear,GIRLI,Ex Talk
AlbumOfTheYear,Robin Thicke,On Earth, and in Heaven
AlbumOfTheYear,The Obsessives,Monastery
AlbumOfTheYear,The Rubens,0202
AlbumOfTheYear,Emptiness,Vide
AlbumOfTheYear,Chico Da Tina & tripsyhell,love tape
AlbumOfTheYear,Margaret,Maggie Vision
AlbumOfTheYear,Yung Lambo,The Mission To Make Speeder Flop
AlbumOfTheYear,Run River North,Creatures In Your Head
AlbumOfTheYear,Nonconnah,Songs for and About Ghosts
AlbumOfTheYear,Benjamin Louis Brody & Ian Chang,Floating into Infinity
AlbumOfTheYear,Karen Matheson,Still Time
AlbumOfTheYear,Elephant9,Arrival of the New Elders
AlbumOfTheYear,Madeleine Mayi,2/14
AlbumOfTheYear,Gewandhausorchester / Gidon Kremer / Madara Pētersone / Daniele Gatti,Violin Concerto; Sonata for Two Violins
AlbumOfTheYear,Ablaze My Sorrow,Among Ashes and Monoliths
AlbumOfTheYear,Bill Stone,Stone
AlbumOfTheYear,The Romance Of Baba Loco,Cling Clang For Funk Monkeys
AlbumOfTheYear,Jon Foreman,Departures
AlbumOfTheYear,Steiner & Madlaina,Wünsch mir Glück
AlbumOfTheYear,Swampbeast,Seven Evils Spawned of Seven Heads
AlbumOfTheYear,Audio88 & Yassin,Todesliste
AlbumOfTheYear,Abiotic,Ikigai
AlbumOfTheYear,Buried,Oculus Rot
AlbumOfTheYear,Hotels On Mars,Grief Museum
AlbumOfTheYear,Wido,Decision Making
AlbumOfTheYear,Fat Ray,Santa Barbara
AlbumOfTheYear,Kentaro Minoura,御徒街徒御
AlbumOfTheYear,Ben Levin Group,Open the Phone and Talk on the Phone with You
AlbumOfTheYear,Roma Zuckerman,Stage of Loyalty
AlbumOfTheYear,Brayden Potts,chapter_4
AlbumOfTheYear,Gazzelle,OK
AlbumOfTheYear,Slaine,The Things We Can't Forgive
AlbumOfTheYear,Indica Blues,We Are Doomed
AlbumOfTheYear,Sur Austru,Obârșie
AlbumOfTheYear,Immortal Guardian,Psychosomatic
AlbumOfTheYear,Soltskval,HOPE
AlbumOfTheYear,Wais P,Sunova
AlbumOfTheYear,Cube,Drug of Choice
AlbumOfTheYear,Jeremy Pelt,Griot: This Is Important!
AlbumOfTheYear,His Name Is Alive,A Silver Thread: Home Recordings 1979-1990
AlbumOfTheYear,His Name Is Alive,Hope Is a Candle: Home Recordings 1985-1990
AlbumOfTheYear,R+R=NOW,R+R=Now Live
AlbumOfTheYear,Speedboat,Split The Bill
AlbumOfTheYear,Small Sins,Volume II
AlbumOfTheYear,Blessed,iii
AlbumOfTheYear,Headie One,Edna (Deluxe)
AlbumOfTheYear,Babyface Ray,Unf*ckwitable
AlbumOfTheYear,James Welsh,Small Illusions
AlbumOfTheYear,Various Artists,Fire Emblem: Three Houses
AlbumOfTheYear,John The Ghost,I Only Want to Live Once
AlbumOfTheYear,Tragedy In Hope,Sleep Paralysis
AlbumOfTheYear,Jordan Agro,Another Modern Life (Inspired by ‘The Outlaw Ocean’ a book by Ian Urbina)
AlbumOfTheYear,The 45 King,The 900 Number EP
AlbumOfTheYear,Toledo Steel,Heading for the Fire
AlbumOfTheYear,Lucrecia Dalt,No era sólida (outtakes)
AlbumOfTheYear,Jupiter Down,The Story Of Us
AlbumOfTheYear,Loshh,ÍFARADÁ
